,credit_score,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,geography_Germany,geography_Spain,gender_Male
74,519,36,9.0,0.0,2,0,1,145562.4,0,0,1
5612,759,31,1.0,109848.6,1,1,1,42012.55,0,0,0
2230,696,30,8.0,0.0,2,1,1,196134.44,0,0,0
2294,591,33,9.0,131765.72,1,1,0,118782.06,0,0,1
5738,653,38,8.0,119315.75,1,1,0,150468.35,0,0,1
844,640,44,5.0,137148.68,1,1,0,92381.01,0,0,1
8951,702,23,7.0,98775.23,1,1,0,114603.96,1,0,0
8370,612,32,3.0,121394.42,1,1,0,164081.42,0,0,1
1084,796,24,8.0,0.0,2,1,0,61349.37,0,0,1
6840,563,30,7.0,90727.79,1,1,0,122268.75,0,0,1
7166,618,40,8.0,0.0,2,1,0,80204.38,0,1,0
4782,752,53,8.0,114233.18,1,1,1,51587.04,0,0,0
5324,654,31,5.0,150593.59,2,1,1,105218.45,1,0,1
6753,661,38,7.0,143006.7,1,1,1,15650.89,0,1,1
5852,544,22,3.0,66483.32,1,0,1,110317.39,0,1,1
7558,622,36,0.0,108960.0,2,1,0,111180.3,0,1,0
963,529,63,4.0,96134.11,3,1,0,108732.96,0,1,1
6155,759,26,5.0,0.0,2,1,0,135394.62,0,0,1
802,614,31,5.0,120599.38,2,1,1,46163.44,1,0,0
9096,569,37,9.0,178755.84,1,1,0,199929.17,0,0,1
28,574,43,3.0,141349.43,1,1,1,100187.43,1,0,0
3112,698,40,7.0,105061.74,3,1,0,107815.31,0,0,0
6847,656,30,3.0,0.0,2,0,1,17104.0,0,0,1
858,456,32,9.0,147506.25,1,1,1,135399.21,0,1,1
6153,550,31,5.0,142200.19,2,1,1,122221.71,0,0,1
1465,806,32,3.0,63763.49,1,1,0,156593.09,0,0,0
4052,616,41,10.0,113220.2,2,1,1,114072.91,1,0,1
5679,778,33,4.0,111063.73,2,1,0,83556.65,1,0,0
8911,718,32,9.0,169947.41,2,1,1,27979.16,1,0,1
7379,573,36,1.0,0.0,1,1,1,56905.38,0,0,0
2733,571,32,5.0,131354.25,1,1,0,125256.53,0,0,1
4880,751,33,4.0,79281.61,1,1,0,117547.76,0,1,1
1881,530,36,2.0,0.0,2,1,1,14721.8,0,1,0
3774,850,61,1.0,0.0,1,1,0,53067.83,0,0,1
7054,769,38,6.0,0.0,2,0,0,104393.78,0,1,1
8061,477,31,9.0,0.0,2,0,1,184061.17,0,1,1
7367,606,42,10.0,0.0,2,1,0,177938.52,0,1,1
6863,564,24,6.0,149592.14,1,1,1,153771.8,0,1,0
2672,724,34,2.0,154485.74,2,0,0,78560.64,0,0,1
1991,626,36,2.0,181671.16,2,1,1,57531.14,1,0,1
1296,653,55,2.0,70263.83,1,0,1,62347.71,0,1,1
4018,715,32,3.0,104857.19,2,1,0,114149.8,1,0,0
2511,679,34,7.0,121063.85,1,1,0,56984.58,1,0,0
5286,684,41,1.0,134177.06,1,0,0,177506.66,0,1,0
2612,550,34,3.0,0.0,2,0,0,131281.28,0,1,1
5881,794,31,0.0,144880.34,2,0,1,175643.44,0,1,1
1363,775,30,4.0,0.0,2,0,1,57461.13,0,1,1
2470,689,31,3.0,139799.63,1,0,1,120663.57,0,1,0
6440,790,47,10.0,148636.21,1,0,1,16119.96,0,0,0
6036,674,27,4.0,79144.34,1,0,1,50743.83,0,0,0
5799,625,45,3.0,0.0,1,1,1,184474.15,0,0,0
393,556,38,8.0,0.0,2,0,0,417.41,0,1,1
2129,702,34,4.0,100054.77,1,1,0,109496.45,0,0,1
3627,604,39,7.0,98544.11,1,1,1,52327.57,0,1,0
6714,825,36,3.0,146053.66,1,1,1,138344.7,0,0,0
1245,626,44,5.0,81553.93,1,1,0,20063.63,0,0,0
8083,576,29,5.0,130575.26,1,0,1,173629.78,1,0,1
6199,449,33,8.0,0.0,2,0,0,156792.89,0,1,0
7101,831,44,10.0,0.0,1,0,1,47729.33,0,1,0
7716,684,32,9.0,100249.41,2,0,1,67599.69,0,0,1
1964,800,40,5.0,97764.41,1,1,0,98640.15,0,0,0
9806,658,35,9.0,71829.34,1,1,1,68141.92,0,1,1
437,516,35,10.0,104088.59,2,0,0,119666.0,0,0,1
5695,787,46,7.0,117685.31,2,1,1,93360.35,0,0,1
6625,657,41,6.0,112119.48,1,1,0,17536.82,0,1,0
9509,688,29,1.0,0.0,2,1,0,154695.57,0,0,1
2124,704,32,7.0,127785.17,4,0,0,184464.7,0,0,1
5536,636,45,5.0,0.0,2,1,1,159463.8,0,1,1
7135,681,57,2.0,173306.13,1,0,1,131964.66,0,1,0
1336,618,38,5.0,126473.99,1,1,0,91972.49,0,1,1
289,588,34,10.0,0.0,2,1,0,79078.91,0,1,1
9520,727,18,2.0,93816.7,2,1,0,126172.11,1,0,0
1729,637,33,0.0,132255.99,2,0,1,74588.41,0,0,1
9485,850,37,5.0,88141.1,1,1,0,109659.12,0,1,1
6046,593,69,2.0,187013.13,2,0,1,105898.69,1,0,1
4092,583,40,4.0,0.0,2,1,0,114093.73,0,1,0
3510,534,35,5.0,81951.74,2,1,0,115668.53,0,0,1
7838,569,32,8.0,145330.43,1,1,1,132038.65,1,0,0
6848,579,33,1.0,65667.79,2,0,0,164608.98,0,0,0
7664,602,35,8.0,0.0,1,1,1,22499.29,0,0,1
5035,657,34,5.0,154983.98,1,1,0,27738.01,0,1,1
6710,578,39,2.0,0.0,2,1,0,70563.9,0,0,1
6165,619,41,8.0,0.0,3,1,1,79866.73,0,1,0
8789,493,36,2.0,0.0,2,0,1,99770.3,0,0,0
5711,617,35,2.0,104508.1,1,1,1,147636.46,0,0,0
7642,811,40,1.0,101514.89,1,1,1,121765.0,0,0,1
878,574,33,3.0,134348.57,1,1,0,63163.99,0,0,0
8748,655,44,6.0,146498.76,1,1,0,64853.51,1,0,0
1703,790,42,1.0,85839.62,1,1,0,198182.73,1,0,1
6168,579,26,10.0,162482.76,1,1,1,18458.2,0,0,0
1026,628,33,6.0,0.0,2,0,0,184230.23,0,0,1
2388,762,34,4.0,88815.56,2,1,0,68562.26,1,0,1
9712,637,32,3.0,0.0,2,1,1,197827.06,0,0,1
6236,553,38,3.0,99844.68,1,0,0,187915.7,0,0,1
7872,639,46,10.0,110031.09,2,1,1,133995.59,1,0,0
5407,561,37,1.0,100443.36,2,0,1,101693.73,0,0,1
7068,699,54,3.0,111009.32,1,1,1,155905.79,1,0,0
7974,716,50,2.0,119655.77,1,1,1,12944.17,1,0,1
5812,850,41,3.0,136416.82,1,0,1,57844.26,0,0,1
6820,528,29,3.0,102787.42,1,1,0,55972.56,0,0,1
7575,561,49,5.0,94754.0,1,1,1,26691.31,1,0,1
4363,634,35,10.0,0.0,1,1,0,82634.41,0,1,0
4647,781,28,4.0,0.0,2,1,0,177703.15,0,0,0
1948,680,35,9.0,0.0,2,0,0,143774.06,0,1,1
3982,614,46,5.0,0.0,1,1,0,74379.57,0,0,1
4733,710,31,1.0,0.0,2,1,0,20081.3,0,0,0
351,762,39,5.0,81273.13,1,1,1,18719.67,0,1,1
5219,625,38,7.0,0.0,1,1,0,164804.02,0,0,0
5261,714,26,9.0,89928.99,1,1,0,46203.31,0,0,0
4557,658,37,3.0,168735.74,2,0,0,70370.24,1,0,1
3750,629,39,2.0,129669.32,2,1,0,82774.07,0,0,1
7757,850,40,6.0,97339.99,1,0,1,88815.25,0,0,1
2326,648,35,5.0,0.0,2,0,0,122899.01,0,1,1
2447,621,26,2.0,75237.54,1,0,1,44220.4,0,0,1
5948,473,35,7.0,131504.73,1,1,0,189560.43,1,0,0
2119,690,29,5.0,0.0,2,1,0,108577.97,0,0,1
8566,679,39,4.0,0.0,1,0,0,172939.3,0,0,0
2708,630,21,1.0,85818.18,1,1,1,133102.3,0,1,0
6811,779,42,5.0,0.0,2,0,0,25951.91,0,0,0
8972,650,32,4.0,79450.09,1,1,1,118324.75,0,1,0
2725,471,58,4.0,114713.57,1,1,1,36315.03,0,0,0
5386,642,48,9.0,118317.27,4,0,0,78702.98,0,0,1
652,668,42,3.0,150461.07,1,1,0,108139.23,0,0,1
9972,758,26,4.0,155739.76,1,1,0,171552.02,0,0,1
7710,506,40,5.0,0.0,1,1,1,144345.58,0,0,0
4466,413,35,2.0,0.0,2,1,1,60972.84,0,1,1
3243,815,24,7.0,171922.72,1,0,1,178028.96,0,0,1
8248,633,29,6.0,117412.35,1,0,0,30338.94,1,0,1
303,712,33,6.0,0.0,2,1,1,190686.16,0,0,0
1156,615,49,5.0,0.0,2,1,1,49872.33,0,0,1
3141,710,24,2.0,110407.44,2,0,0,15832.43,1,0,0
3848,560,41,4.0,152532.3,1,0,0,10779.69,1,0,1
6228,663,42,5.0,90248.79,1,1,1,79169.73,1,0,1
2367,620,39,9.0,159492.79,1,1,0,80582.34,1,0,1
7365,568,36,10.0,153610.61,1,1,1,54083.8,0,1,0
8757,678,44,2.0,98009.13,2,0,1,31384.86,1,0,0
5976,537,38,10.0,0.0,1,0,0,52337.97,0,0,0
5405,531,64,2.0,175754.87,2,1,1,60721.4,1,0,0
7788,551,76,2.0,128410.71,2,1,1,181718.73,0,1,1
7202,573,72,8.0,98765.84,1,1,1,96015.53,0,1,0
9374,658,32,5.0,145553.07,1,1,1,31484.76,0,1,0
2427,798,49,5.0,132571.67,1,1,1,31686.33,1,0,0
7775,628,40,10.0,0.0,2,1,0,103832.58,0,1,1
6690,573,30,5.0,127406.5,1,1,0,192950.6,1,0,1
2297,709,40,9.0,131569.63,1,1,1,103970.58,0,0,0
442,534,34,5.0,121551.58,2,1,1,70179.0,0,0,0
120,828,34,8.0,129433.34,2,0,0,38131.77,0,0,1
1277,743,42,7.0,77002.2,2,1,1,80428.42,0,0,1
1815,510,32,9.0,103324.78,1,1,1,46127.7,0,0,1
9226,586,27,5.0,130231.8,2,1,1,192427.16,0,0,1
1625,680,44,3.0,0.0,2,1,0,86935.08,0,0,1
2574,665,51,9.0,110610.41,2,0,1,1112.76,1,0,0
6692,662,39,5.0,138106.75,1,0,0,19596.73,0,0,0
938,577,37,4.0,0.0,1,1,1,79881.39,0,0,0
2579,365,30,0.0,127760.07,1,1,0,81537.85,1,0,1
7545,732,26,7.0,0.0,2,1,0,154364.66,0,0,1
9561,678,36,6.0,118448.15,2,1,0,53172.02,1,0,1
4404,604,43,2.0,145081.72,1,1,1,23881.62,0,1,1
7577,615,43,3.0,86920.86,1,1,1,150048.37,1,0,1
6817,608,56,10.0,129255.2,2,1,0,142492.04,0,0,0
3560,817,44,8.0,0.0,1,0,0,65501.91,0,0,1
7356,493,37,8.0,142987.46,2,1,0,158840.99,0,0,0
8089,692,24,2.0,120596.93,1,0,1,180490.53,1,0,1
6100,796,30,2.0,137262.71,2,1,0,62905.29,0,0,1
9537,783,40,6.0,0.0,2,1,0,109742.55,0,0,1
4439,613,21,7.0,105627.95,1,1,1,36560.51,0,0,0
3031,678,22,4.0,174852.89,1,1,1,28149.06,0,0,0
5318,744,31,0.0,117551.23,1,1,0,158958.9,0,1,1
3747,605,32,5.0,0.0,2,1,1,55724.24,0,0,1
1383,571,23,10.0,151097.28,1,0,1,17163.75,0,0,0
8787,689,73,1.0,108555.07,1,0,1,167969.15,0,1,1
3728,675,66,5.0,115654.47,2,1,1,131970.86,0,1,1
2770,676,32,5.0,0.0,2,1,1,75465.41,0,0,0
5992,758,32,2.0,84378.9,1,1,1,75396.43,0,0,0
1595,677,38,4.0,0.0,2,1,0,187800.63,0,0,1
7616,610,27,4.0,87262.4,2,1,0,182720.07,0,0,0
6456,606,31,10.0,0.0,2,1,0,195209.4,0,0,1
8315,600,41,1.0,0.0,2,1,1,91193.65,0,0,0
9412,725,26,6.0,98684.15,1,0,0,133720.57,0,0,1
7888,594,31,0.0,79340.95,1,1,0,78255.86,0,0,0
7275,669,42,9.0,0.0,2,0,0,135630.32,0,0,0
1644,663,37,7.0,0.0,1,1,1,185210.63,0,0,0
1654,446,32,8.0,0.0,2,0,0,133292.94,0,0,1
4829,687,34,5.0,128270.56,1,1,0,191092.62,0,0,1
5910,481,39,6.0,0.0,1,1,1,24677.54,0,0,0
7878,731,38,5.0,123711.73,2,1,0,171340.68,0,0,0
2033,665,41,8.0,0.0,2,1,0,132152.32,0,1,1
2961,616,31,7.0,76665.71,2,1,1,163809.08,0,1,1
9503,671,48,6.0,119769.77,1,0,1,66032.65,0,0,0
1187,765,50,9.0,126547.8,1,1,1,79579.94,0,0,0
2509,655,50,10.0,0.0,4,1,0,179267.94,0,0,0
7688,713,45,4.0,131038.14,1,1,0,74005.04,1,0,1
6511,628,50,4.0,143054.56,1,0,1,109608.81,0,0,0
4743,511,57,8.0,122950.31,1,1,1,181258.76,0,1,0
2068,658,31,2.0,36566.96,1,1,0,103644.98,0,1,0
6884,639,35,8.0,0.0,2,1,0,170483.9,0,0,1
9421,613,34,5.0,144094.2,1,1,0,44510.26,0,0,1
3465,692,43,2.0,69014.49,2,0,0,164621.43,1,0,0
53,655,41,5.0,125561.97,1,0,0,164040.94,1,0,1
5925,706,39,8.0,112889.91,1,0,1,6723.66,1,0,0
7683,660,26,4.0,115021.76,1,0,1,162443.05,1,0,1
6819,568,39,5.0,0.0,2,1,1,129569.92,0,1,1
8442,598,34,4.0,0.0,2,0,0,60894.26,0,0,0
3699,749,37,10.0,185063.7,2,1,1,134526.87,0,0,1
5982,655,37,9.0,121342.24,1,1,1,180241.44,1,0,1
7129,850,33,3.0,100476.46,2,1,1,136539.13,0,1,1
1242,696,30,4.0,114027.7,1,1,1,193716.56,1,0,1
318,628,22,3.0,0.0,1,1,0,85426.28,0,1,0
7319,474,37,5.0,142688.57,2,1,1,110953.33,1,0,0
3984,834,38,8.0,0.0,2,1,1,66485.26,0,1,1
76,664,55,8.0,0.0,2,1,1,139161.64,0,0,1
8524,711,34,6.0,0.0,2,1,1,175310.38,0,0,0
4632,753,43,5.0,0.0,2,1,0,109881.71,0,0,0
7937,670,36,5.0,0.0,1,1,0,140754.19,0,0,1
951,789,33,8.0,151607.56,1,1,0,4389.4,1,0,1
8510,550,40,8.0,150490.32,1,0,0,166468.21,0,0,0
2792,535,45,2.0,0.0,2,0,1,170621.55,0,0,0
9077,730,36,8.0,148749.29,2,1,0,91830.75,0,0,0
4165,775,60,7.0,0.0,2,1,1,111558.7,0,0,1
6069,576,52,2.0,100549.43,2,1,1,16644.16,0,1,1
9741,758,35,7.0,0.0,2,1,0,77951.84,0,0,1
1474,755,30,6.0,154221.37,2,0,1,62688.55,1,0,0
2363,571,33,9.0,0.0,2,0,1,77519.62,0,0,0
3857,636,45,7.0,139859.23,1,1,1,108402.54,0,0,0
6718,444,34,2.0,144318.97,1,1,0,112668.06,0,0,1
6117,850,37,2.0,0.0,2,1,0,119969.99,0,1,1
7383,737,39,7.0,130051.66,2,0,0,55356.39,0,1,0
6807,562,36,6.0,0.0,2,1,0,32845.32,0,0,1
6748,756,31,10.0,122647.32,1,0,0,61666.87,0,0,1
5147,669,38,9.0,121858.98,1,1,0,130755.34,0,0,0
227,547,39,6.0,74596.15,3,1,1,85746.52,1,0,0
5527,698,38,2.0,130015.24,1,1,1,41595.3,0,0,1
1661,690,32,0.0,106683.52,2,1,1,137916.49,1,0,1
5350,477,57,9.0,114023.64,2,1,1,71167.17,0,0,0
7377,691,40,0.0,115465.98,1,1,1,60622.61,0,0,0
1963,578,34,5.0,147487.23,2,1,0,66680.77,1,0,1
6944,850,36,7.0,102800.72,1,1,1,87352.43,1,0,1
5806,696,47,5.0,106758.6,1,1,1,80591.18,0,1,1
7634,501,38,9.0,88977.39,2,0,1,133403.07,1,0,1
6605,771,33,5.0,0.0,2,1,0,8673.43,0,1,0
410,709,23,10.0,0.0,2,0,0,129590.18,0,1,1
4668,445,31,7.0,145056.59,1,1,1,175893.53,0,0,1
930,661,39,6.0,132628.98,1,0,0,38812.67,0,1,1
3767,769,29,4.0,145471.37,1,1,0,188382.77,0,0,1
1902,773,33,10.0,0.0,1,1,1,98820.09,0,1,0
2657,562,29,9.0,0.0,1,1,1,25858.68,0,0,1
8620,768,40,8.0,0.0,2,0,1,69080.46,0,0,0
3383,698,39,9.0,133191.19,2,0,1,53289.49,1,0,1
2702,622,30,4.0,107879.04,1,0,1,196894.62,0,0,0
8471,525,51,10.0,0.0,3,1,0,171045.35,0,0,1
5481,577,44,1.0,152086.15,1,0,1,44719.5,1,0,0
3149,643,34,8.0,117451.47,1,1,0,65374.86,0,1,0
2864,708,37,8.0,153366.13,1,1,1,26912.34,1,0,1
2217,666,35,2.0,104832.49,1,1,0,175015.12,0,1,1
6329,727,34,2.0,146407.11,1,1,1,72073.72,1,0,1
4660,537,41,0.0,0.0,2,0,1,175262.49,0,0,0
3290,736,30,9.0,0.0,2,1,0,34180.33,0,0,0
6369,646,38,2.0,0.0,2,0,0,178752.73,0,0,0
5042,850,33,3.0,0.0,2,1,1,11159.19,0,0,0
596,685,43,9.0,0.0,2,1,0,107811.28,0,1,1
8562,697,63,7.0,148368.02,1,0,0,118862.08,0,0,1
9270,499,21,3.0,176511.08,1,1,1,153920.22,0,0,0
67,735,43,10.0,123180.01,2,1,1,196673.28,1,0,1
6375,524,64,5.0,0.0,1,1,0,136079.64,0,1,0
629,799,28,3.0,142253.65,1,1,0,45042.56,0,1,0
4638,516,50,7.0,139675.07,2,1,0,45591.23,1,0,1
195,807,35,3.0,174790.15,1,1,1,600.36,0,0,1
7949,530,52,1.0,106723.28,1,0,0,109960.4,0,0,1
4055,452,60,6.0,121730.49,1,1,1,142963.29,0,0,0
5003,740,36,7.0,0.0,1,1,1,13177.4,0,0,1
7223,799,31,9.0,154586.92,1,0,1,88604.89,1,0,1
2838,850,36,2.0,155180.56,2,0,0,169415.54,0,1,0
8038,613,50,5.0,101242.98,2,1,0,12493.61,1,0,0
1305,811,52,10.0,76915.4,1,0,0,146359.81,1,0,1
448,675,38,6.0,68065.8,1,0,0,138777.0,0,0,0
1399,517,29,5.0,0.0,2,1,0,103402.88,0,1,0
8236,602,37,3.0,107592.89,2,0,1,153122.73,0,1,1
1889,665,23,9.0,143672.9,1,1,1,115147.33,0,0,0
1635,516,33,7.0,127305.5,1,1,1,120037.36,0,0,0
5285,386,53,1.0,131955.07,1,1,1,62514.65,0,1,0
969,649,70,9.0,116854.71,2,0,1,107125.79,1,0,1
2695,597,39,8.0,162532.14,3,1,0,36051.46,1,0,0
6688,550,22,6.0,154377.3,1,1,1,51721.52,0,0,1
6245,591,39,8.0,0.0,2,0,0,42392.24,0,1,1
7000,775,28,9.0,111167.7,1,1,0,149331.01,0,0,1
8829,683,40,1.0,0.0,2,0,0,75762.0,0,0,0
5257,807,31,1.0,141069.18,3,1,1,194257.11,1,0,0
9248,629,34,6.0,0.0,2,1,0,190347.72,0,1,1
623,678,36,3.0,145747.67,2,0,1,89566.74,1,0,1
8527,694,39,3.0,0.0,1,1,1,95625.03,0,1,1
8892,680,32,5.0,0.0,1,1,1,150684.23,0,0,0
3427,465,41,9.0,117221.15,1,1,0,168280.95,0,0,1
8533,706,34,8.0,0.0,2,1,1,37479.97,0,0,1
1695,506,34,7.0,0.0,2,0,0,115842.1,0,0,1
27,571,44,9.0,0.0,2,0,0,38433.35,0,0,1
3279,652,37,5.0,0.0,2,1,0,68789.93,0,1,1
1587,592,37,7.0,0.0,2,1,1,126726.33,0,0,0
9522,418,35,7.0,0.0,2,1,1,88878.15,0,0,1
4682,809,24,7.0,109558.36,1,1,0,183515.13,0,0,1
3103,655,47,10.0,0.0,2,1,0,167778.62,0,0,0
1844,667,48,2.0,0.0,2,1,1,148608.39,0,0,0
9304,616,40,9.0,0.0,2,0,0,93717.55,0,0,1
5016,501,29,8.0,0.0,2,1,0,112664.24,0,0,0
3953,652,33,3.0,124832.51,1,1,0,195877.06,0,1,0
7165,616,28,10.0,105173.99,1,0,1,29835.37,1,0,0
9710,543,37,3.0,122304.65,2,0,0,33998.7,1,0,0
6891,754,48,5.0,141819.02,1,1,0,93550.53,1,0,0
2892,601,44,3.0,0.0,2,1,0,30607.11,0,0,1
1760,521,38,5.0,110641.18,1,0,1,136507.69,0,0,1
4246,617,30,8.0,0.0,1,1,1,92621.9,0,0,0
1742,584,54,1.0,77354.37,1,0,0,138192.98,1,0,0
3702,504,73,8.0,0.0,1,1,1,34595.58,0,0,0
6464,564,33,2.0,115761.51,1,0,1,112350.21,1,0,0
5004,502,57,3.0,101465.31,1,1,0,43568.31,1,0,0
280,782,39,8.0,0.0,2,1,1,33949.67,0,0,1
336,659,32,3.0,150923.74,2,0,1,174652.51,1,0,0
8948,583,48,3.0,91246.53,1,1,0,60017.46,0,0,1
6899,569,66,2.0,0.0,1,1,0,130784.2,0,0,1
9357,418,46,9.0,0.0,1,1,1,81014.5,0,0,0
587,725,44,5.0,0.0,1,1,1,117356.14,0,0,1
7321,584,36,9.0,0.0,1,1,1,105818.51,0,0,1
9590,772,34,7.0,111565.91,1,1,1,121073.23,1,0,1
9620,561,37,4.0,101470.29,1,0,1,88838.14,0,1,1
5692,573,30,6.0,0.0,2,1,0,66190.21,0,0,0
6467,540,31,7.0,0.0,1,0,1,183051.6,0,0,0
6794,575,54,5.0,68332.96,1,1,1,144390.75,0,0,0
3843,783,38,1.0,0.0,3,1,1,80178.54,0,1,1
7372,683,34,9.0,114609.55,2,0,1,25339.29,0,1,1
8112,578,35,2.0,0.0,2,0,1,26389.92,0,0,0
5512,627,37,2.0,125190.86,1,0,1,84584.69,0,0,1
9157,737,32,7.0,128551.36,2,0,1,189402.71,0,0,0
1322,700,44,2.0,58781.76,1,1,0,16874.92,0,0,0
841,818,31,1.0,186796.37,1,0,0,178252.63,0,0,0
3864,620,40,5.0,108197.11,2,1,0,49722.34,1,0,1
5772,665,35,8.0,110934.54,1,1,0,169287.99,0,0,1
3429,731,43,9.0,79120.27,1,0,0,548.52,1,0,0
9611,608,37,2.0,130461.02,1,1,0,21967.15,0,1,1
6085,482,45,7.0,156353.46,1,1,0,72643.95,1,0,1
4442,676,38,1.0,0.0,2,0,1,35644.79,0,0,1
3295,754,19,9.0,0.0,1,1,0,189641.11,0,1,0
4114,624,54,5.0,116726.22,1,1,0,110498.1,1,0,1
5731,674,45,7.0,144889.18,1,1,1,102591.9,0,0,1
6401,556,46,10.0,0.0,2,0,0,109184.24,0,0,0
989,722,49,3.0,168197.66,1,1,0,140765.57,0,0,0
7247,582,40,3.0,110150.43,1,1,1,191757.65,1,0,0
6032,686,39,4.0,0.0,2,1,0,155023.93,0,0,1
747,450,46,5.0,177619.71,1,1,0,54227.06,0,1,0
2109,596,41,5.0,0.0,2,0,1,141053.85,0,1,1
6928,781,48,0.0,57098.96,1,1,0,85644.06,0,0,0
7089,635,48,5.0,0.0,2,1,1,136551.25,0,1,0
1521,507,29,6.0,0.0,2,0,1,94780.9,0,1,0
2413,815,25,5.0,135161.67,1,1,1,136071.05,1,0,0
5745,629,32,3.0,0.0,2,1,1,15404.64,0,1,1
1576,613,40,9.0,95624.36,2,1,1,60706.33,0,0,0
2560,650,30,6.0,0.0,1,0,0,67997.13,0,1,0
3917,685,50,6.0,94238.75,2,1,1,50664.07,0,0,0
4004,530,41,4.0,0.0,2,0,1,147606.71,0,1,0
7286,680,43,4.0,0.0,2,1,1,58761.33,0,0,0
7987,812,32,5.0,133050.97,2,1,0,89385.92,0,0,1
244,523,34,7.0,0.0,2,1,0,62030.06,0,1,1
5233,731,49,4.0,88826.07,1,1,1,33759.41,1,0,0
9985,659,36,5.0,123841.49,2,1,0,96833.0,0,0,1
5652,691,29,9.0,0.0,2,0,0,199635.93,0,0,0
5791,809,42,6.0,64497.94,3,0,1,182436.81,1,0,0
6357,491,68,3.0,107571.61,1,0,1,113695.99,0,0,0
8569,622,36,5.0,0.0,2,1,1,104852.6,0,1,1
4180,607,36,10.0,106702.94,2,0,0,198313.69,1,0,1
5247,633,59,5.0,0.0,1,1,1,137273.97,0,0,1
730,591,24,6.0,147360.0,1,1,1,25310.82,0,0,1
4458,633,37,2.0,0.0,2,1,0,182258.17,0,0,1
2443,560,57,0.0,0.0,2,0,1,116781.71,0,0,1
6788,825,37,6.0,118050.79,1,0,1,52301.15,1,0,1
5657,496,30,0.0,90963.49,1,0,1,27802.0,0,0,1
2698,586,28,5.0,0.0,3,1,0,170487.4,0,0,0
5952,590,29,10.0,0.0,1,1,1,51907.72,0,1,1
9617,591,35,2.0,90194.34,2,1,0,57064.57,1,0,0
5678,630,33,9.0,0.0,2,1,0,64804.59,0,0,1
5668,667,42,7.0,0.0,1,0,1,108348.94,0,0,1
7143,719,54,7.0,0.0,2,1,1,125041.52,0,0,0
3790,596,54,0.0,78126.28,1,1,1,153482.91,0,1,0
22,510,38,4.0,0.0,1,1,0,118913.53,0,1,0
4599,641,38,3.0,0.0,2,1,0,116466.19,0,0,0
8062,663,46,6.0,95439.4,1,1,1,21038.58,1,0,0
7505,659,27,4.0,0.0,2,1,0,99341.87,0,1,1
5946,590,32,9.0,0.0,2,1,0,138889.15,0,0,1
3791,705,38,5.0,123894.43,1,1,0,21177.1,0,0,0
5013,672,40,3.0,0.0,1,1,0,113171.61,0,0,0
175,484,35,7.0,133868.21,1,1,1,27286.1,0,1,0
4396,721,68,4.0,136525.99,1,0,0,175399.14,1,0,1
9508,644,26,8.0,96659.64,2,1,1,138775.69,0,1,1
439,464,42,3.0,85679.25,1,1,1,164104.74,1,0,0
8050,707,33,2.0,0.0,2,0,0,130866.95,0,0,1
8444,792,70,3.0,0.0,2,1,1,172240.27,0,0,0
8142,615,41,4.0,130385.82,1,0,1,130661.95,0,0,1
9704,625,22,9.0,0.0,2,1,0,157072.91,0,0,1
8786,741,19,8.0,108711.57,2,1,0,24857.25,1,0,0
7429,685,43,6.0,117302.62,1,0,0,68701.73,0,1,0
1572,716,44,3.0,109528.28,1,1,0,27341.63,0,0,0
3155,641,32,7.0,0.0,2,1,1,24267.28,0,1,1
1929,632,40,3.0,109740.62,1,1,0,141896.74,0,1,0
7432,724,31,2.0,160997.54,2,0,1,64831.36,1,0,1
2123,651,25,2.0,109175.14,2,1,0,114566.47,1,0,0
3265,422,33,2.0,0.0,2,1,0,102655.31,0,0,0
3683,576,52,9.0,170228.59,2,0,0,148477.57,0,0,0
9785,455,27,5.0,155879.09,2,0,0,70774.97,0,0,0
9605,736,29,9.0,0.0,2,0,0,176152.7,0,0,0
5857,594,56,5.0,0.0,1,1,0,26215.85,0,0,0
3191,590,32,5.0,0.0,2,1,0,59249.83,0,0,1
4478,549,31,4.0,0.0,2,0,1,25684.85,0,0,1
2980,850,41,3.0,99945.93,2,1,0,71179.31,0,1,0
4148,654,32,6.0,0.0,2,1,1,137898.57,0,0,1
9945,645,44,10.0,0.0,2,0,1,166707.22,0,0,1
32,553,41,9.0,110112.54,2,0,0,81898.81,1,0,1
9250,713,42,0.0,109121.71,1,0,1,167873.49,0,1,1
4235,595,29,6.0,150685.79,1,1,0,87771.06,0,0,1
8133,720,34,3.0,118307.57,2,1,1,136120.29,0,0,0
5500,681,47,9.0,97023.21,1,1,1,2168.13,0,0,1
5421,589,39,7.0,0.0,2,0,0,95985.64,0,0,0
4992,794,62,9.0,123681.32,3,1,0,173586.63,0,0,0
7901,628,28,3.0,153538.13,2,1,0,110776.01,1,0,0
1141,617,40,5.0,190008.32,2,1,1,107047.92,0,0,1
8795,651,38,5.0,0.0,3,1,0,67029.82,0,1,1
889,542,43,5.0,145618.37,1,0,1,10350.74,0,0,0
8929,569,35,5.0,93934.63,1,1,0,184748.23,0,0,0
89,635,28,3.0,81623.67,2,1,1,156791.36,1,0,0
1662,695,40,7.0,139022.24,1,0,1,193383.13,1,0,1
3023,618,39,2.0,91068.56,1,1,0,26578.69,0,0,1
685,661,42,2.0,178820.91,1,0,0,29358.57,0,1,1
